2025-12-06 01:13:01:011 : | debug | "POST /register - Incoming data: email=testkumar@gmail.com" |
2025-12-06 01:31:43:4343 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:34:35:3535 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"test\",\"country\":\"test\"},\"fullName\":\"TEst\",\"profilePicture\":\"/uploads/userProfilePictures/1764964273411-435385420.png\",\"schoolOrganization\":\"TEst\",\"dateOfBirth\":\"2025-12-05T00:00:00.000Z\",\"phoneNumber\":\"8765432109\",\"causesOfInterest\":[\"steastea\"]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"_id\":\"693337b141569b2a7c257e6c\",\"email\":\"testtest@gmail.com\",\"password\":\"$2a$12$q2q1H1PdDZzGuRVHdv8PHOE4epvj6oGWXomvsR4tFsnWnvPUjAhL2\",\"provider\":\"local\",\"role\":\"volunteer\",\"totalHours\":0,\"thisYearHours\":0,\"tier\":\"None\",\"badges\":[],\"referralCount\":0,\"createdAt\":\"2025-12-05T19:51:13.469Z\",\"__v\":0},\"newTierUnlocked\":true,\"unlockedTier\":\"None\",\"tierContent\":null}" |
2025-12-06 01:34:35:3535 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:41:24:2424 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"test\",\"country\":\"test\"},\"fullName\":\"TEst\",\"profilePicture\":\"/uploads/userProfilePictures/1764964273411-435385420.png\",\"schoolOrganization\":\"TEst\",\"dateOfBirth\":\"2025-12-05T00:00:00.000Z\",\"phoneNumber\":\"8765432109\",\"causesOfInterest\":[\"steastea\"]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"lastAcknowledgedTier\":\"None\",\"_id\":\"693337b141569b2a7c257e6c\",\"email\":\"testtest@gmail.com\",\"password\":\"$2a$12$q2q1H1PdDZzGuRVHdv8PHOE4epvj6oGWXomvsR4tFsnWnvPUjAhL2\",\"provider\":\"local\",\"role\":\"volunteer\",\"totalHours\":0,\"thisYearHours\":0,\"tier\":\"None\",\"badges\":[],\"referralCount\":0,\"createdAt\":\"2025-12-05T19:51:13.469Z\",\"__v\":0},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:41:24:2424 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:44:14:1414 : | debug | "POST /login - Incoming request body={\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"Smart@123\"}" |
2025-12-06 01:44:22:2222 : | debug | "POST /login - Incoming request body={\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"Smart@123\"}" |
2025-12-06 01:44:32:3232 : | debug | "POST /login - Incoming request body={\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"Smart@12345\"}" |
2025-12-06 01:44:32:3232 : | debug | "POST /login - Login successful for email=rajjaiswar1256@gmail.com" |
2025-12-06 01:44:32:3232 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"Maharashtra\",\"country\":\"India\"},\"firstName\":\"raj\",\"lastName\":\"jaiswar\",\"schoolOrganization\":\"asdfasera\",\"dateOfBirth\":\"2025-09-20T00:00:00.000Z\",\"phoneNumber\":\"8286231170\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"lastAcknowledgedTier\":\"None\",\"_id\":\"68c8fd17c743b48c4e314119\",\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"$2a$12$hhzeGK6Flc1FzKGERuuw/OkXb1ujDW81NH21AM3uZfewEllGlWQkW\",\"role\":\"volunteer\",\"totalHours\":0,\"thisYearHours\":0,\"tier\":\"None\",\"badges\":[],\"referralCode\":\"FO9OKC\",\"referredBy\":\"\",\"referralCount\":0,\"createdAt\":\"2025-09-16T06:00:55.896Z\",\"__v\":0,\"provider\":\"local\"},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:44:32:3232 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:45:07:077 : | debug | "POST /submit - userId=68c8fd17c743b48c4e314119, Incoming request body: {\"fullName\":\"Raj\",\"activityName\":\"Photo\",\"serviceDate\":\"2025-12-05\",\"hours\":\"70\",\"serviceType\":\"NEST Tutors\",\"description\":\"Test\",\"isHistorical\":\"false\"}" |
2025-12-06 01:45:07:077 : | debug | "POST /submit - Volunteer hours submitted successfully. submissionId=69333d4b735b7c59b5c13112 userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:45:07:077 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:45:22:2222 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"Maharashtra\",\"country\":\"India\"},\"firstName\":\"raj\",\"lastName\":\"jaiswar\",\"schoolOrganization\":\"asdfasera\",\"dateOfBirth\":\"2025-09-20T00:00:00.000Z\",\"phoneNumber\":\"8286231170\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"lastAcknowledgedTier\":\"None\",\"_id\":\"68c8fd17c743b48c4e314119\",\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"$2a$12$hhzeGK6Flc1FzKGERuuw/OkXb1ujDW81NH21AM3uZfewEllGlWQkW\",\"role\":\"volunteer\",\"totalHours\":0,\"thisYearHours\":0,\"tier\":\"None\",\"badges\":[],\"referralCode\":\"FO9OKC\",\"referredBy\":\"\",\"referralCount\":0,\"createdAt\":\"2025-09-16T06:00:55.896Z\",\"__v\":0,\"provider\":\"local\"},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:45:23:2323 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 0,\n  \"thisYearHours\": 0,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:46:01:011 : | debug | "POST /login - Incoming request body={\"email\":\"admin@nest4us.org\",\"password\":\"admin123\"}" |
2025-12-06 01:46:01:011 : | debug | "POST /login - Login successful for email=admin@nest4us.org" |
2025-12-06 01:46:02:022 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"firstName\":\"Admin\",\"lastName\":\"User\",\"schoolOrganization\":\"NEST4US\",\"dateOfBirth\":\"1990-01-01T00:00:00.000Z\",\"phoneNumber\":\"555-0123\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"provider\":\"local\",\"lastAcknowledgedTier\":\"None\",\"_id\":\"68c8351b1eee63d9c051fc7e\",\"email\":\"admin@nest4us.org\",\"password\":\"$2a$12$a/1BGJvGjRTRZgpY7X1KFOUjRD8UagNVz0rB5Q1rpxk5e6QBaMgSG\",\"role\":\"admin\",\"totalHours\":7,\"thisYearHours\":7,\"tier\":\"None\",\"badges\":[],\"referralCount\":0,\"createdAt\":\"2025-09-15T15:47:39.906Z\",\"__v\":0},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:46:02:022 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 7,\n  \"thisYearHours\": 7,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:46:02:022 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"69333d4b735b7c59b5c13112\",\n  \"volunteerId\": {\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\"\n  },\n  \"fullName\": \"Raj\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"NEST Tutors\",\n  \"hours\": 70,\n  \"description\": \"Test\",\n  \"proofOfService\": \"1764965707676-807790800.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T20:15:07.696Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:46:02:022 : | debug | "GET /admin/summary - Summary data: {\n  \"totalVolunteers\": 8,\n  \"totalHours\": 152,\n  \"valueOfService\": \"$5288.08\",\n  \"pendingSubmissions\": 6\n}" |
2025-12-06 01:46:02:022 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"69333d4b735b7c59b5c13112\",\n  \"volunteerId\": {\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\"\n  },\n  \"fullName\": \"Raj\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"NEST Tutors\",\n  \"hours\": 70,\n  \"description\": \"Test\",\n  \"proofOfService\": \"1764965707676-807790800.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T20:15:07.696Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:46:09:099 : | debug | "PUT /review-hours/:id - Id=69333d4b735b7c59b5c13112, Incoming request body={\"status\":\"approved\"}" |
2025-12-06 01:46:09:099 : | debug | "PUT /review-hours/:id - Hours entry found. Id=69333d4b735b7c59b5c13112 Data={\"_id\":\"69333d4b735b7c59b5c13112\",\"volunteerId\":\"68c8fd17c743b48c4e314119\",\"fullName\":\"Raj\",\"activityName\":\"Photo\",\"serviceDate\":\"2025-12-05T00:00:00.000Z\",\"serviceType\":\"NEST Tutors\",\"hours\":70,\"description\":\"Test\",\"proofOfService\":\"1764965707676-807790800.png\",\"status\":\"pending\",\"isHistorical\":false,\"submittedAt\":\"2025-12-05T20:15:07.696Z\",\"__v\":0}" |
2025-12-06 01:46:09:099 : | debug | "PUT /review-hours/:id - Sending approval email to rajjaiswar1256@gmail.com" |
2025-12-06 01:46:10:1010 : | debug | "PUT /review-hours/:id - Sending tier upgrade email for tier=Kindness Ambassador" |
2025-12-06 01:46:10:1010 : | debug | "PUT /review-hours/:id - Response body sample. Id=69333d4b735b7c59b5c13112 Data={\"_id\":\"69333d4b735b7c59b5c13112\",\"volunteerId\":\"68c8fd17c743b48c4e314119\",\"fullName\":\"Raj\",\"activityName\":\"Photo\",\"serviceDate\":\"2025-12-05T00:00:00.000Z\",\"serviceType\":\"NEST Tutors\",\"hours\":70,\"description\":\"Test\",\"proofOfService\":\"1764965707676-807790800.png\",\"status\":\"approved\",\"isHistorical\":false,\"submittedAt\":\"2025-12-05T20:15:07.696Z\",\"__v\":0,\"reviewedAt\":\"2025-12-05T20:16:09.384Z\",\"reviewedBy\":\"68c8351b1eee63d9c051fc7e\"} status=approved" |
2025-12-06 01:46:10:1010 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"6933286319813576e3dbc0c4\",\n  \"volunteerId\": {\n    \"profile\": {\n      \"fullName\": \"viraj\"\n    },\n    \"_id\": \"6931710bc1b61a3aaf0b223e\",\n    \"email\": \"thakerviraj@gmail.com\"\n  },\n  \"fullName\": \"Naman\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"Others\",\n  \"hours\": 5,\n  \"description\": \"Photo\",\n  \"proofOfService\": \"1764960355738-727776418.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T18:45:55.763Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:46:10:1010 : | debug | "GET /admin/summary - Summary data: {\n  \"totalVolunteers\": 8,\n  \"totalHours\": 222,\n  \"valueOfService\": \"$7723.38\",\n  \"pendingSubmissions\": 5\n}" |
2025-12-06 01:46:11:1111 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"6933286319813576e3dbc0c4\",\n  \"volunteerId\": {\n    \"profile\": {\n      \"fullName\": \"viraj\"\n    },\n    \"_id\": \"6931710bc1b61a3aaf0b223e\",\n    \"email\": \"thakerviraj@gmail.com\"\n  },\n  \"fullName\": \"Naman\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"Others\",\n  \"hours\": 5,\n  \"description\": \"Photo\",\n  \"proofOfService\": \"1764960355738-727776418.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T18:45:55.763Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:51:21:2121 : | debug | "POST /login - Incoming request body={\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"Smart@12345\"}" |
2025-12-06 01:51:21:2121 : | debug | "POST /login - Login successful for email=rajjaiswar1256@gmail.com" |
2025-12-06 01:51:21:2121 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"Maharashtra\",\"country\":\"India\"},\"firstName\":\"raj\",\"lastName\":\"jaiswar\",\"schoolOrganization\":\"asdfasera\",\"dateOfBirth\":\"2025-09-20T00:00:00.000Z\",\"phoneNumber\":\"8286231170\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"_id\":\"68c8fd17c743b48c4e314119\",\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"$2a$12$hhzeGK6Flc1FzKGERuuw/OkXb1ujDW81NH21AM3uZfewEllGlWQkW\",\"role\":\"volunteer\",\"totalHours\":70,\"thisYearHours\":70,\"tier\":\"Kindness Ambassador\",\"badges\":[\"Kindness Ambassador\"],\"referralCode\":\"FO9OKC\",\"referredBy\":\"\",\"referralCount\":0,\"createdAt\":\"2025-09-16T06:00:55.896Z\",\"__v\":1,\"provider\":\"local\",\"lastAcknowledgedTier\":\"Kindness Ambassador\"},\"newTierUnlocked\":true,\"unlockedTier\":\"Kindness Ambassador\",\"tierContent\":{\"subject\":\"🎉 You’re a Kindness Ambassador!\",\"message\":\"Hooray! NEST4US is proud to recognize you as a <strong>KINDNESS AMBASSADOR</strong> for your 50+ hours of volunteer service. Thank you for spreading kindness and making the world brighter with every act you do!\"}}" |
2025-12-06 01:51:21:2121 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 70,\n  \"thisYearHours\": 70,\n  \"tier\": \"Kindness Ambassador\"\n}" |
2025-12-06 01:51:39:3939 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 70,\n  \"thisYearHours\": 70,\n  \"tier\": \"Kindness Ambassador\"\n}" |
2025-12-06 01:51:39:3939 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"Maharashtra\",\"country\":\"India\"},\"firstName\":\"raj\",\"lastName\":\"jaiswar\",\"schoolOrganization\":\"asdfasera\",\"dateOfBirth\":\"2025-09-20T00:00:00.000Z\",\"phoneNumber\":\"8286231170\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"_id\":\"68c8fd17c743b48c4e314119\",\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"$2a$12$hhzeGK6Flc1FzKGERuuw/OkXb1ujDW81NH21AM3uZfewEllGlWQkW\",\"role\":\"volunteer\",\"totalHours\":70,\"thisYearHours\":70,\"tier\":\"Kindness Ambassador\",\"badges\":[\"Kindness Ambassador\"],\"referralCode\":\"FO9OKC\",\"referredBy\":\"\",\"referralCount\":0,\"createdAt\":\"2025-09-16T06:00:55.896Z\",\"__v\":1,\"provider\":\"local\",\"lastAcknowledgedTier\":\"Kindness Ambassador\"},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:54:24:2424 : | debug | "POST /submit - userId=68c8fd17c743b48c4e314119, Incoming request body: {\"fullName\":\"Minnnet\",\"activityName\":\"Photo\",\"serviceDate\":\"2025-12-05\",\"hours\":\"50\",\"serviceType\":\"NEST4US Notes of Kindness\",\"description\":\"teste\"}" |
2025-12-06 01:54:24:2424 : | debug | "POST /submit - Volunteer hours submitted successfully. submissionId=69333f78735b7c59b5c13170 userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:54:25:2525 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 70,\n  \"thisYearHours\": 70,\n  \"tier\": \"Kindness Ambassador\"\n}" |
2025-12-06 01:58:21:2121 : | debug | "POST /login - Incoming request body={\"email\":\"admin@nest4us.org\",\"password\":\"admin123\"}" |
2025-12-06 01:58:37:3737 : | debug | "POST /login - Incoming request body={\"email\":\"admin@nest4us.org\",\"password\":\"admin123\"}" |
2025-12-06 01:58:37:3737 : | debug | "POST /login - Login successful for email=admin@nest4us.org" |
2025-12-06 01:58:37:3737 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 7,\n  \"thisYearHours\": 7,\n  \"tier\": \"None\"\n}" |
2025-12-06 01:58:37:3737 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"firstName\":\"Admin\",\"lastName\":\"User\",\"schoolOrganization\":\"NEST4US\",\"dateOfBirth\":\"1990-01-01T00:00:00.000Z\",\"phoneNumber\":\"555-0123\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"provider\":\"local\",\"lastAcknowledgedTier\":\"None\",\"_id\":\"68c8351b1eee63d9c051fc7e\",\"email\":\"admin@nest4us.org\",\"password\":\"$2a$12$a/1BGJvGjRTRZgpY7X1KFOUjRD8UagNVz0rB5Q1rpxk5e6QBaMgSG\",\"role\":\"admin\",\"totalHours\":7,\"thisYearHours\":7,\"tier\":\"None\",\"badges\":[],\"referralCount\":0,\"createdAt\":\"2025-09-15T15:47:39.906Z\",\"__v\":0},\"newTierUnlocked\":false,\"unlockedTier\":null,\"tierContent\":null}" |
2025-12-06 01:58:38:3838 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"69333f78735b7c59b5c13170\",\n  \"volunteerId\": {\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\"\n  },\n  \"fullName\": \"Minnnet\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"NEST4US Notes of Kindness\",\n  \"hours\": 50,\n  \"description\": \"teste\",\n  \"proofOfService\": \"1764966264741-329857154.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T20:24:24.757Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:58:38:3838 : | debug | "GET /pending-hours - Sample Record: {\n  \"_id\": \"69333f78735b7c59b5c13170\",\n  \"volunteerId\": {\n    \"_id\": \"68c8fd17c743b48c4e314119\",\n    \"email\": \"rajjaiswar1256@gmail.com\"\n  },\n  \"fullName\": \"Minnnet\",\n  \"activityName\": \"Photo\",\n  \"serviceDate\": \"2025-12-05T00:00:00.000Z\",\n  \"serviceType\": \"NEST4US Notes of Kindness\",\n  \"hours\": 50,\n  \"description\": \"teste\",\n  \"proofOfService\": \"1764966264741-329857154.png\",\n  \"status\": \"pending\",\n  \"isHistorical\": false,\n  \"submittedAt\": \"2025-12-05T20:24:24.757Z\",\n  \"__v\": 0\n}" |
2025-12-06 01:58:38:3838 : | debug | "GET /admin/summary - Summary data: {\n  \"totalVolunteers\": 8,\n  \"totalHours\": 222,\n  \"valueOfService\": \"$7723.38\",\n  \"pendingSubmissions\": 6\n}" |
2025-12-06 02:01:40:4040 : | debug | "POST /login - Incoming request body={\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"Smart@12345\"}" |
2025-12-06 02:01:40:4040 : | debug | "POST /login - Login successful for email=rajjaiswar1256@gmail.com" |
2025-12-06 02:01:40:4040 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 120,\n  \"thisYearHours\": 120,\n  \"tier\": \"Change Catalyst\"\n}" |
2025-12-06 02:01:40:4040 : | debug | "GET /newTier - Response payload: {\"message\":\"Login successful\",\"user\":{\"profile\":{\"location\":{\"state\":\"Maharashtra\",\"country\":\"India\"},\"firstName\":\"raj\",\"lastName\":\"jaiswar\",\"schoolOrganization\":\"asdfasera\",\"dateOfBirth\":\"2025-09-20T00:00:00.000Z\",\"phoneNumber\":\"8286231170\",\"causesOfInterest\":[]},\"notifications\":{\"weeklyDigest\":true,\"monthlyDigest\":true,\"approvalNotifications\":true,\"achievementNotifications\":true},\"_id\":\"68c8fd17c743b48c4e314119\",\"email\":\"rajjaiswar1256@gmail.com\",\"password\":\"$2a$12$hhzeGK6Flc1FzKGERuuw/OkXb1ujDW81NH21AM3uZfewEllGlWQkW\",\"role\":\"volunteer\",\"totalHours\":120,\"thisYearHours\":120,\"tier\":\"Change Catalyst\",\"badges\":[\"Kindness Ambassador\",\"Change Catalyst\"],\"referralCode\":\"FO9OKC\",\"referredBy\":\"\",\"referralCount\":0,\"createdAt\":\"2025-09-16T06:00:55.896Z\",\"__v\":2,\"provider\":\"local\",\"lastAcknowledgedTier\":\"Change Catalyst\"},\"newTierUnlocked\":true,\"unlockedTier\":\"Change Catalyst\",\"tierContent\":{\"subject\":\"🔥 You’ve Unlocked the Change Catalyst Tier!\",\"message\":\"Woohoo! NEST4US is proud to recognize you as a <strong>CHANGE CATALYST</strong> for your 100+ hours of volunteer service. Your passion and drive for making a difference are sparking real, lasting impact in communities near and far!\"}}" |
2025-12-06 02:02:55:5555 : | debug | "POST /submit - userId=68c8fd17c743b48c4e314119, Incoming request body: {\"fullName\":\"Naman\",\"activityName\":\"jkldjafk\",\"serviceDate\":\"2025-12-05\",\"hours\":\"40\",\"serviceType\":\"NEST4US Notes of Kindness\",\"description\":\"dsfasdfasdf\",\"isHistorical\":\"false\"}" |
2025-12-06 02:02:55:5555 : | debug | "POST /submit - Volunteer hours submitted successfully. submissionId=69334177735b7c59b5c131a4 userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:02:55:5555 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 120,\n  \"thisYearHours\": 120,\n  \"tier\": \"Change Catalyst\"\n}" |
2025-12-06 02:03:44:4444 : | debug | "POST /get-entry - Incoming request body: {\"id\":\"69334177735b7c59b5c131a4\"}" |
2025-12-06 02:03:44:4444 : | debug | "POST /get-entry - Entry Data: {\"_id\":\"69334177735b7c59b5c131a4\",\"volunteerId\":\"68c8fd17c743b48c4e314119\",\"fullName\":\"Naman\",\"activityName\":\"jkldjafk\",\"serviceDate\":\"2025-12-05T00:00:00.000Z\",\"serviceType\":\"NEST4US Notes of Kindness\",\"hours\":40,\"description\":\"dsfasdfasdf\",\"proofOfService\":\"1764966775573-375994442.png\",\"status\":\"pending\",\"isHistorical\":false,\"submittedAt\":\"2025-12-05T20:32:55.600Z\",\"__v\":0}" |
2025-12-06 02:05:09:099 : | debug | "POST /get-entry - Incoming request body: {\"id\":\"69334177735b7c59b5c131a4\"}" |
2025-12-06 02:05:09:099 : | debug | "POST /get-entry - Entry Data: {\"_id\":\"69334177735b7c59b5c131a4\",\"volunteerId\":\"68c8fd17c743b48c4e314119\",\"fullName\":\"Naman\",\"activityName\":\"jkldjafk\",\"serviceDate\":\"2025-12-05T00:00:00.000Z\",\"serviceType\":\"NEST4US Notes of Kindness\",\"hours\":40,\"description\":\"dsfasdfasdf\",\"proofOfService\":\"1764966775573-375994442.png\",\"status\":\"pending\",\"isHistorical\":false,\"submittedAt\":\"2025-12-05T20:32:55.600Z\",\"__v\":0}" |
2025-12-06 02:05:47:4747 : | debug | "GET /dashboard - Response sample: {\n  \"totalHours\": 160,\n  \"thisYearHours\": 160,\n  \"tier\": \"Service Champion\"\n}" |
